M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
22720.34897,0,0,0,0,20.44301505,22.06033445,0.105,-54,0,0,0,0,0,0,0,0,2.833742922,6.076463527,0.03,-46,6.606312651,10.96060144,0.21,-60,2.214368323,4.188260259,0.075,-46,10.73844162,12.32886536,0.045,-49,0.6867401,0.7088737,9.525827,-0.017562376,-0.038179077,-0.051923547,-176.0094,-75.4692,142.55699,1.9991776,-0.07408748,-0.07196793,20.9331056,20.159,2,4
23271.07867,0,0,0,0,20.40922792,22.02132442,0.12,-54,0,0,0,0,0,0,0,0,2.80037777,6.241003205,0.105,-48,6.588090262,9.811267808,0.12,-62,2.244048853,4.274858594,0.18,-47,10.70505783,12.2898332,0.06,-49,-0.17826529,0.7304091,9.55813,0.0580322,-0.14019357,0.06795876,-176.7414,-76.030396,143.64279,2.0343778,-0.076256126,0.018648483,20.89931034,20.159,2,4
23818.2636,0,0,0,0,20.38670319,21.98631538,0.09,-55,0,0,0,0,0,0,0,0,2.778140115,6.397490836,0.06,-49,6.576010441,10.4290211,0.165,-58,2.263899965,2.704163457,0.165,-47,10.68280341,12.34487849,0.075,-48,1.282553,1.006182,9.336794,-0.052839845,-0.33307427,-0.16523905,-177.1196,-74.6152,143.289,1.9892373,-0.10635982,-0.13651112,20.87678017,20.159,2,4
24364.49261,0,0,0,0,20.3529161,22.33740471,0.06,-54,0,0,0,0,0,0,0,0,2.744792574,6.715411827,0.075,-48,6.557994118,8.53937445,0.09,-58,2.293769451,4.806061173,0.03,-45,10.64942395,12.25480416,0.075,-48,-1.1132607,1.0911272,9.657433,0.007483099,0.117438845,0.04520403,-177.0098,-75.103195,142.89859,2.097461,-0.11177208,0.11476845,20.84298491,20.159,2,4
24934.47076,0,0,0,0,20.31912905,21.97431228,0.105,-56,0,0,0,0,0,0,0,0,2.711456129,6.064422891,0.03,-48,6.540102804,11.32797074,0.165,-62,2.323746488,3.636789931,0.09,-40,10.61604714,12.21577161,0.12,-47,2.00698,1.2897314,9.29133,0.072540246,0.019700404,-0.046731193,-177.3392,-74.5054,144.1796,1.9773744,-0.13485745,-0.21273719,20.80918966,20.159,2,4
25478.32684,0,0,0,0,20.28534202,22.34140571,0.105,-53,0,0,0,0,0,0,0,0,2.678131174,5.888811425,0.105,-48,6.522337518,9.099272993,0.105,-58,2.353826983,3.601457483,0.12,-40,10.58267297,12.19675568,0.06,-48,-1.0869397,-0.6305088,9.438489,-0.14172074,-0.001374447,0.03359759,-177.4124,-74.6152,143.5696,1.949867,0.06626611,0.11465528,20.7753944,20.159,2,4
26018.08888,0,0,0,0,20.26281734,22.36141071,0.03,-53,0,0,0,0,0,0,0,0,2.655921135,5.794467706,0.045,-46,6.510564518,11.59022006,0.225,-63,2.373936182,3.187016787,0.09,-41,10.560425,12.05163242,0.075,-48,1.1425728,1.9238294,9.406186,-0.020158553,0.070554934,-0.15699236,-178.19319,-73.7734,143.411,2.0313778,-0.20031276,-0.12087815,20.75286422,20.159,2,4
26564.06727,0,0,0,0,20.22903037,22.50944746,0.09,-53,0,0,0,0,0,0,0,0,2.622616335,5.790452832,0.06,-46,6.493011588,11.56719862,0.21,-60,2.404180472,3.451976825,0.06,-47,10.52705532,12.29783981,0.105,-47,-0.40558344,0.4229314,9.409177,-0.08460484,-0.1470658,0.005345071,-178.69339,-73.2122,143.777,2.0050597,-0.04487697,0.043078426,20.71906897,20.159,2,4
27063.55132,0,0,0,0,20.20650572,22.59146762,0.09,-52,0,0,0,0,0,0,0,0,2.600420153,5.664977405,0.075,-49,6.481381116,10.80844115,0.345,-59,2.424395455,4.443960396,0.075,-43,0,0,0,0,0.87936234,0.48035914,9.743574,-0.056352317,-0.11285736,-0.009162978,-179.48639,-73.0292,143.9356,1.9625006,-0.049061134,-0.09000665,20.69653879,20.159,2,4
27615.71742,0,0,0,0,20.17271878,22.57946467,0.06,-52,0,0,0,0,0,0,0,0,2.567136801,5.994182596,0.045,-49,6.464043418,10.24080119,0.09,-58,2.45479351,4.373511633,0.105,-43,10.47144523,12.20376155,0.075,-48,0.48993045,0.80159557,9.891929,-0.029168816,0.07819075,0.057421334,-178.19319,-74.9202,143.1426,2.0035958,-0.08076008,-0.049487866,20.66274353,20.159,2,4
28156.55739,0,0,0,0,20.13893188,22.55645903,0.03,-53,0,0,0,0,0,0,0,0,2.53386701,5.641887627,0.06,-51,6.446836259,11.23087548,0.12,-59,2.485279305,4.188260259,0.09,-46,10.43808288,12.1687321,0.03,-49,-0.15732808,0.49292147,9.110074,-0.002290745,-0.024281893,0.038789943,-178.2054,-74.8104,143.5452,2.0103507,-0.054046545,0.017267965,20.62894828,20.159,2,4
28700.0794,0,0,0,0,20.11640728,22.40842243,0.06,-55,0,0,0,0,0,0,0,0,2.511694931,5.938989813,0.06,-52,6.43543785,11.12076544,0.09,-60,2.505650349,3.000627268,0.165,-46,10.41584284,11.99258142,0.06,-49,0.9798609,0.3792624,10.13839,-0.07086037,0.13897185,-0.00870483,-179.0838,-74.8226,143.7038,1.9630107,-0.037217848,-0.09634932,20.6064181,20.159,2,4
