real_dis,RTT,RTT std,RSS,AP_idx,class_idx,AP_x,AP_y,circle,user,true_x,true_y
10.56939945,11.67629946,0.12,-57,1,25,11.55,0,2,1,1.016138,0.866
4.163445538,7.709803889,0.105,-53,2,25,0.459,4.992,2,1,1.016138,0.866
22.8352889,23.70872827,0.075,-59,3,25,23.835,0,2,1,1.016138,0.866
14.00022225,16.52343672,0.09,-62,4,25,13.154,7.843,2,1,1.016138,0.866
25.31817639,30.4448945,0.3,-70,5,25,25.354,7.843,2,1,1.016138,0.866
1.335100159,1.720832357,0.135,-36,6,25,0,0,2,1,1.016138,0.866
10.53619582,11.93453078,0.06,-58,1,26,11.55,0,2,1,1.049454,0.866
4.16803454,5.331606231,0.075,-51,2,26,0.459,4.992,2,1,1.049454,0.866
22.8019969,23.50168183,0.105,-59,3,26,23.835,0,2,1,1.049454,0.866
13.97134793,15.22979461,0.18,-65,4,26,13.154,7.843,2,1,1.049454,0.866
1.36062842,2.108527685,0.09,-33,6,26,0,0,2,1,1.049454,0.866
10.5029929,12.54003589,0.12,-58,1,27,11.55,0,2,1,1.08277,0.866
4.172884496,8.551394974,0,-55,2,27,0.459,4.992,2,1,1.08277,0.866
22.76870497,23.57669875,0.12,-59,3,27,23.835,0,2,1,1.08277,0.866
13.94249342,16.07722691,0.15,-64,4,27,13.154,7.843,2,1,1.08277,0.866
25.25413104,34.48437536,0.255,-68,5,27,25.354,7.843,2,1,1.08277,0.866
1.386487242,2.229624408,0.045,-33,6,27,0,0,2,1,1.08277,0.866
4.180646718,5.362741463,0.12,-52,2,28,0.459,4.992,2,1,1.132744,0.866
22.71876721,23.72073093,0,-59,3,28,23.835,0,2,1,1.132744,0.866
13.89924907,15.96817385,0.18,-63,4,28,13.154,7.843,2,1,1.132744,0.866
1.425855873,0,0,0,6,28,0,0,2,1,1.132744,0.866
4.188990779,6.499796997,0.045,-50,2,29,0.459,4.992,2,1,1.182718,0.866
22.66882961,23.60770571,0.09,-59,3,29,23.835,0,2,1,1.182718,0.866
13.85605,15.7770791,0.135,-62,4,29,13.154,7.843,2,1,1.182718,0.866
1.465871027,2.269576172,0.06,-34,6,29,0,0,2,1,1.182718,0.866
4.194875025,6.637193383,0.045,-51,2,30,0.459,4.992,2,1,1.216034,0.866
22.63553796,23.57969943,0.09,-58,3,30,23.835,0,2,1,1.216034,0.866
13.82727599,15.39788414,0.15,-63,4,30,13.154,7.843,2,1,1.216034,0.866
25.12608071,31.87807905,0.33,-67,5,30,25.354,7.843,2,1,1.216034,0.866
1.492881338,1.773879646,0.075,-36,6,30,0,0,2,1,1.216034,0.866
10.33698923,16.09723656,0.255,-57,1,31,11.55,0,2,1,1.24935,0.866
4.201015249,7.596562973,0.105,-57,2,31,0.459,4.992,2,1,1.24935,0.866
22.60224639,23.56469605,0.12,-58,3,31,23.835,0,2,1,1.24935,0.866
13.79852241,14.96765098,0.255,-65,4,31,13.154,7.843,2,1,1.24935,0.866
25.0940766,28.83066466,0.075,-65,5,31,25.354,7.843,2,1,1.24935,0.866
1.520141909,1.915828802,0.06,-34,6,31,0,0,2,1,1.24935,0.866
4.207410329,7.733854149,0.045,-50,2,32,0.459,4.992,2,1,1.282666,0.866
22.56895489,23.26762835,0.045,-58,3,32,23.835,0,2,1,1.282666,0.866
13.76978939,15.67102552,0.075,-63,4,32,13.154,7.843,2,1,1.282666,0.866
25.06207592,29.43675391,0.06,-68,5,32,25.354,7.843,2,1,1.282666,0.866
1.547639515,2.50049995,0.075,-33,6,32,0,0,2,1,1.282666,0.866
4.214059106,7.350012857,0.09,-49,2,33,0.459,4.992,2,1,1.315982,0.866
22.53566346,23.56069515,0.015,-57,3,33,23.835,0,2,1,1.315982,0.866
13.74107707,14.99866824,0.225,-64,4,33,13.154,7.843,2,1,1.315982,0.866
1.575361744,1.911694536,0.075,-36,6,33,0,0,2,1,1.315982,0.866
4.22096038,7.545451875,0.045,-49,2,34,0.459,4.992,2,1,1.349298,0.866
22.50237211,23.38465523,0.075,-57,3,34,23.835,0,2,1,1.349298,0.866
13.71238558,16.16326826,0.09,-62,4,34,13.154,7.843,2,1,1.349298,0.866
1.603296945,1.758290078,0.03,-36,6,34,0,0,2,1,1.349298,0.866
4.231783009,6.574013158,0.075,-47,2,35,0.459,4.992,2,1,1.399272,0.866
22.45243521,23.66571869,0.03,-57,3,35,23.835,0,2,1,1.399272,0.866
13.66938767,16.15626491,0.15,-60,4,35,13.154,7.843,2,1,1.399272,0.866
24.95010065,32.39414151,0,-71,5,35,25.354,7.843,2,1,1.399272,0.866
1.645575319,2.30130941,0.06,-35,6,35,0,0,2,1,1.399272,0.866
4.25106518,5.763351889,0.06,-46,2,36,0.459,4.992,2,1,1.482562,0.866
